
mysql> SELECT Customer.c_name, Locker_room.*
Query OK, 1 row affected (0.00 sec)

    -> FROM Customer
    -> JOIN Rents ON Customer.customer_id = Rents.customer_id
    -> JOIN Locker_room ON Rents.space_id = Locker_room.space_id;
+-------------------------+----------+------------------------+----------------------------+
| c_name                  | space_id | total_rentable_lockers | lockers_available_for_rent |
+-------------------------+----------+------------------------+----------------------------+
| Haley Moore             |        1 |                     85 |                         34 |
| Shane Garcia            |        1 |                     85 |                         34 |
| Julie Carter            |        1 |                     85 |                         34 |
| Brittany Smith          |        1 |                     85 |                         34 |
| Tanya Watkins           |        1 |                     85 |                         34 |
| Luis Hall               |        2 |                     94 |                         19 |
| Brittany Barrett        |        2 |                     94 |                         19 |
| Tammy Mack              |        2 |                     94 |                         19 |
| Zachary Hill Jr.        |        2 |                     94 |                         19 |
| Jorge Erickson          |        2 |                     94 |                         19 |
| Peter Smith             |        3 |                     30 |                         28 |
| Amy Vincent             |        3 |                     30 |                         28 |
| Gina Owens              |        3 |                     30 |                         28 |
| James Schmidt           |        3 |                     30 |                         28 |
| Robin Wise              |        4 |                     67 |                         36 |
| Justin Hurst            |        4 |                     67 |                         36 |
| Chelsea Johnson         |        5 |                     36 |                          1 |
| Taylor Moreno           |        6 |                     34 |                         16 |
| Stephanie Gonzalez      |        6 |                     34 |                         16 |
| Terri Wright            |        6 |                     34 |                         16 |
| Jake Navarro            |        6 |                     34 |                         16 |
| Christopher Brown       |        6 |                     34 |                         16 |
| Christine Stanley       |        7 |                     88 |                          1 |
| Mary Burke              |        8 |                     49 |                         38 |
| Valerie Morrison        |        8 |                     49 |                         38 |
| Carl Washington         |        8 |                     49 |                         38 |
| Patricia Mccarthy       |        8 |                     49 |                         38 |
| Craig Young             |        8 |                     49 |                         38 |
| Laura Boyd              |        8 |                     49 |                         38 |
| Zachary Meyer           |        8 |                     49 |                         38 |
| Leah Smith              |        8 |                     49 |                         38 |
| Daniel Odonnell         |        9 |                     85 |                         47 |
| James Johnson           |        9 |                     85 |                         47 |
| Mark Hall               |        9 |                     85 |                         47 |
| Lawrence Cook MD        |        9 |                     85 |                         47 |
| Kelsey Welch            |        9 |                     85 |                         47 |
| David Hernandez         |        9 |                     85 |                         47 |
| Carol Bishop            |        9 |                     85 |                         47 |
| Aaron Orr               |        9 |                     85 |                         47 |
| Amanda Galloway         |        9 |                     85 |                         47 |
| Jonathan Lam            |        9 |                     85 |                         47 |
| Anita Hernandez         |       10 |                     28 |                         12 |
| Scott Joseph            |       10 |                     28 |                         12 |
| Mary Bennett            |       10 |                     28 |                         12 |
| Joshua Armstrong        |       10 |                     28 |                         12 |
| Jeffrey Castillo        |       10 |                     28 |                         12 |
| Russell Ford            |       11 |                    100 |                         47 |
| Jesse Thomas            |       11 |                    100 |                         47 |
| Kevin Arnold            |       11 |                    100 |                         47 |
| Laura Mann              |       11 |                    100 |                         47 |
| Alan Armstrong          |       11 |                    100 |                         47 |
| Paul Gonzalez           |       11 |                    100 |                         47 |
| Sharon Welch            |       11 |                    100 |                         47 |
| Nicole Mathis           |       12 |                     78 |                         47 |
| Savannah Williams       |       12 |                     78 |                         47 |
| Mr. James Smith         |       12 |                     78 |                         47 |
| Lisa Mcintyre           |       12 |                     78 |                         47 |
| Amber Dennis            |       12 |                     78 |                         47 |
| Adam Reyes              |       12 |                     78 |                         47 |
| Natasha Bender          |       12 |                     78 |                         47 |
| Dr. William Martinez    |       12 |                     78 |                         47 |
| Alexander Nguyen        |       12 |                     78 |                         47 |
| Dana Kim                |       13 |                     77 |                         10 |
| Dr. Gregory Stewart DDS |       13 |                     77 |                         10 |
| Vanessa Acosta          |       13 |                     77 |                         10 |
| Erica Stewart           |       13 |                     77 |                         10 |
| Rebecca Harris          |       14 |                     89 |                         17 |
| Phillip Glover          |       14 |                     89 |                         17 |
| Shawn Andrews           |       14 |                     89 |                         17 |
| Ryan Kelley MD          |       14 |                     89 |                         17 |
| Robert Murphy           |       14 |                     89 |                         17 |
| Rachel Clark            |       14 |                     89 |                         17 |
| Daniel Mccoy            |       14 |                     89 |                         17 |
| Edwin Cannon            |       14 |                     89 |                         17 |
| Jenny Dunn              |       15 |                     58 |                          1 |
| Robin Gordon            |       16 |                     94 |                         29 |
| John Fuller             |       16 |                     94 |                         29 |
| Kevin Parker            |       16 |                     94 |                         29 |
| Dr. James Hernandez     |       16 |                     94 |                         29 |
| Heidi Pierce            |       16 |                     94 |                         29 |
| Stephanie Harrison      |       16 |                     94 |                         29 |
| Colleen Kirk            |       16 |                     94 |                         29 |
| John Oneill             |       16 |                     94 |                         29 |
| Joseph Johnson          |       16 |                     94 |                         29 |
| Mike Rogers             |       16 |                     94 |                         29 |
| Kyle Doyle              |       16 |                     94 |                         29 |
| Carl Richards           |       16 |                     94 |                         29 |
| Michaela Hudson         |       16 |                     94 |                         29 |
| Raymond Guzman          |       16 |                     94 |                         29 |
| Mark Clarke             |       16 |                     94 |                         29 |
| Brian Bryant            |       16 |                     94 |                         29 |
| Stephen Johnson         |       16 |                     94 |                         29 |
| Micheal Reynolds        |       16 |                     94 |                         29 |
| Jessica Donovan         |       16 |                     94 |                         29 |
| Faith Dunlap            |       17 |                     82 |                         24 |
| Randy Wood              |       17 |                     82 |                         24 |
| Jessica Burton          |       17 |                     82 |                         24 |
| Jacob Mccormick         |       17 |                     82 |                         24 |
| Jessica Miller          |       17 |                     82 |                         24 |
| Eric Jones              |       17 |                     82 |                         24 |
| Steven Jackson          |       17 |                     82 |                         24 |
| Robert Barton           |       17 |                     82 |                         24 |
| Manuel Vaughan Jr.      |       17 |                     82 |                         24 |
| Jonathan Harris         |       17 |                     82 |                         24 |
| Jack Turner             |       18 |                     98 |                         29 |
| Mark Nichols            |       18 |                     98 |                         29 |
| William Barnett         |       18 |                     98 |                         29 |
| Alyssa Watson           |       18 |                     98 |                         29 |
| Christopher Berger      |       18 |                     98 |                         29 |
| Audrey Snow             |       18 |                     98 |                         29 |
| Virginia Gomez          |       18 |                     98 |                         29 |
| Jacqueline Sanchez      |       18 |                     98 |                         29 |
| Melissa Miller          |       18 |                     98 |                         29 |
| Destiny Meza            |       18 |                     98 |                         29 |
| Anthony Watkins         |       18 |                     98 |                         29 |
| Thomas Morrison         |       18 |                     98 |                         29 |
| Amber Wood              |       18 |                     98 |                         29 |
| Peter Martinez          |       18 |                     98 |                         29 |
| Victoria Noble          |       18 |                     98 |                         29 |
| Tiffany Ray             |       19 |                     25 |                         16 |
| Jonathan Mann           |       19 |                     25 |                         16 |
| Laura Castro            |       19 |                     25 |                         16 |
| Christian Roberts       |       19 |                     25 |                         16 |
| Christopher Wade        |       19 |                     25 |                         16 |
| Angel Williams          |       19 |                     25 |                         16 |
| Andrew Parsons          |       19 |                     25 |                         16 |
| Brian Valdez            |       19 |                     25 |                         16 |
| Benjamin Parker         |       20 |                     54 |                         46 |
| Jill Avila              |       20 |                     54 |                         46 |
| Jared Grant             |       20 |                     54 |                         46 |
| Linda Obrien            |       20 |                     54 |                         46 |
| Amy Lloyd               |       20 |                     54 |                         46 |
| Maria Chavez            |       20 |                     54 |                         46 |
| Tammy Stanton           |       20 |                     54 |                         46 |
| Kevin Kennedy           |       20 |                     54 |                         46 |
| Terry Le                |       20 |                     54 |                         46 |
| Margaret Barton         |       20 |                     54 |                         46 |
| Karen Sims              |       20 |                     54 |                         46 |
| Rebecca Patterson       |       20 |                     54 |                         46 |
| Richard Mccall          |       20 |                     54 |                         46 |
| Mr. Michael Ortega      |       20 |                     54 |                         46 |
| Zachary Jones           |       20 |                     54 |                         46 |
| Michael Davidson        |       21 |                     98 |                         14 |
| Dawn Conley             |       21 |                     98 |                         14 |
| Richard Oconnor         |       21 |                     98 |                         14 |
| Madison Thomas          |       21 |                     98 |                         14 |
| Anthony Newman          |       21 |                     98 |                         14 |
| Mitchell Johnson        |       21 |                     98 |                         14 |
| Justin Ramirez          |       21 |                     98 |                         14 |
| Scott Brown             |       22 |                     67 |                         22 |
| Catherine Johnson       |       22 |                     67 |                         22 |
| Juan Thompson           |       22 |                     67 |                         22 |
| Melanie Myers           |       22 |                     67 |                         22 |
| Hannah Cannon           |       23 |                     92 |                         48 |
| Terry Benjamin          |       23 |                     92 |                         48 |
| Lindsay Larson          |       23 |                     92 |                         48 |
| Jamie Smith             |       23 |                     92 |                         48 |
| Hannah Montes           |       23 |                     92 |                         48 |
| Lisa Booth              |       23 |                     92 |                         48 |
| Tiffany Anderson        |       23 |                     92 |                         48 |
| Lisa Escobar            |       23 |                     92 |                         48 |
| Jennifer Dorsey         |       23 |                     92 |                         48 |
| Kevin Pierce            |       23 |                     92 |                         48 |
| William Roman           |       23 |                     92 |                         48 |
| Allison Blackwell MD    |       23 |                     92 |                         48 |
| Elizabeth Page          |       23 |                     92 |                         48 |
| David Singh             |       24 |                     34 |                         19 |
| Charles Smith           |       24 |                     34 |                         19 |
| Cheryl Santiago         |       24 |                     34 |                         19 |
| Kristin Mccormick       |       24 |                     34 |                         19 |
| Barry Hernandez         |       24 |                     34 |                         19 |
| John Shepherd           |       24 |                     34 |                         19 |
| Kimberly Perez          |       25 |                     41 |                         26 |
| Debra Skinner           |       25 |                     41 |                         26 |
| Harry Johnson           |       25 |                     41 |                         26 |
| Kimberly Jackson        |       25 |                     41 |                         26 |
| William Macias          |       25 |                     41 |                         26 |
| Joel Noble              |       25 |                     41 |                         26 |
| Jessica Pratt           |       25 |                     41 |                         26 |
| Dr. Brianna Turner      |       25 |                     41 |                         26 |
| James Burns             |       25 |                     41 |                         26 |
| Michele Cox             |       25 |                     41 |                         26 |
| Stephanie Spencer       |       25 |                     41 |                         26 |
| Mr. Johnathan Wyatt     |       25 |                     41 |                         26 |
| Jason Smith             |       25 |                     41 |                         26 |
| Michelle Brooks MD      |       26 |                     44 |                         17 |
| James Clayton           |       26 |                     44 |                         17 |
| Danielle Hansen         |       26 |                     44 |                         17 |
| Shawna Montoya          |       27 |                     74 |                         33 |
| Tina Allen              |       27 |                     74 |                         33 |
| Andrew Osborn           |       27 |                     74 |                         33 |
| Jessica Hoover          |       27 |                     74 |                         33 |
| John Mitchell           |       27 |                     74 |                         33 |
| Paul Rose               |       27 |                     74 |                         33 |
| Joanna Barajas          |       27 |                     74 |                         33 |
| Tina Foster             |       28 |                     59 |                         20 |
| Melissa Watson          |       28 |                     59 |                         20 |
| Joy Sharp               |       28 |                     59 |                         20 |
| Christopher Vaughn      |       28 |                     59 |                         20 |
| Stacy Ramirez           |       28 |                     59 |                         20 |
| Julie Johnson           |       28 |                     59 |                         20 |
| Jeff Torres             |       28 |                     59 |                         20 |
| Brenda White            |       28 |                     59 |                         20 |
| Joyce Smith             |       28 |                     59 |                         20 |
| Michael Alvarez         |       28 |                     59 |                         20 |
| Michele Tanner          |       28 |                     59 |                         20 |
| Rachel Stevens          |       29 |                     72 |                         18 |
| Diana Morgan            |       29 |                     72 |                         18 |
| Melissa Melendez        |       29 |                     72 |                         18 |
| Katherine Potts         |       29 |                     72 |                         18 |
| April Howard            |       29 |                     72 |                         18 |
| Melissa Martin          |       29 |                     72 |                         18 |
| Christine Melton        |       29 |                     72 |                         18 |
| Charles Gray            |       30 |                     41 |                         11 |
| David Soto              |       30 |                     41 |                         11 |
| Keith Harper            |       30 |                     41 |                         11 |
| Miss Wendy Johns        |       30 |                     41 |                         11 |
| William Thompson        |       30 |                     41 |                         11 |
| Brian Pena              |       30 |                     41 |                         11 |
| Paula May               |       30 |                     41 |                         11 |
| Anthony Preston         |       32 |                     53 |                         12 |
| Juan Johnson DVM        |       32 |                     53 |                         12 |
| Dawn Cruz               |       32 |                     53 |                         12 |
| Stacy Perez             |       32 |                     53 |                         12 |
| Max Lambert             |       32 |                     53 |                         12 |
| Phyllis Kemp            |       32 |                     53 |                         12 |
| Margaret Alexander      |       32 |                     53 |                         12 |
| Alisha Williams         |       32 |                     53 |                         12 |
| Jesse Powell            |       32 |                     53 |                         12 |
| Donna Howell            |       33 |                     35 |                         35 |
| Timothy Riley           |       33 |                     35 |                         35 |
| Keith Barnes            |       33 |                     35 |                         35 |
| Julie Sanchez           |       33 |                     35 |                         35 |
| Russell Cole            |       33 |                     35 |                         35 |
| Anthony Richardson      |       33 |                     35 |                         35 |
| Alex Mcdonald           |       33 |                     35 |                         35 |
| Justin Warren           |       33 |                     35 |                         35 |
| Kelly Harrison          |       33 |                     35 |                         35 |
| Cody Burke              |       33 |                     35 |                         35 |
| Allison Roach           |       34 |                     68 |                         14 |
| Melissa Jones           |       34 |                     68 |                         14 |
| Matthew Brown           |       35 |                     70 |                         34 |
| Angela Hendricks        |       35 |                     70 |                         34 |
| Chad Jackson            |       35 |                     70 |                         34 |
| Ryan Mullins            |       35 |                     70 |                         34 |
| James Phillips          |       35 |                     70 |                         34 |
| David Atkinson          |       35 |                     70 |                         34 |
| Zachary Deleon          |       35 |                     70 |                         34 |
| Sarah Yates             |       35 |                     70 |                         34 |
| Dawn Patterson          |       35 |                     70 |                         34 |
| Lori Tanner             |       35 |                     70 |                         34 |
| Karen Coleman           |       35 |                     70 |                         34 |
| Joseph Larson           |       35 |                     70 |                         34 |
| Jason Jimenez           |       35 |                     70 |                         34 |
| Todd Bowman             |       36 |                     62 |                          4 |
| Jessica Ferguson        |       37 |                     28 |                          4 |
| Rachel Peterson         |       38 |                     78 |                         25 |
| Javier Smith            |       38 |                     78 |                         25 |
| Jennifer Henderson      |       38 |                     78 |                         25 |
| Amanda Valdez           |       38 |                     78 |                         25 |
| Matthew Blanchard       |       39 |                     96 |                         33 |
| Ashley Perez            |       39 |                     96 |                         33 |
| Erica Wagner            |       39 |                     96 |                         33 |
| Eric Stone              |       39 |                     96 |                         33 |
| Anna Suarez             |       39 |                     96 |                         33 |
| Jordan Hunter           |       40 |                     43 |                         12 |
| David Martin            |       40 |                     43 |                         12 |
| Andres Blake            |       40 |                     43 |                         12 |
| Dana Blackburn MD       |       40 |                     43 |                         12 |
| Mary Pratt              |       40 |                     43 |                         12 |
| John Barrett            |       40 |                     43 |                         12 |
| Christina Cook          |       40 |                     43 |                         12 |
| Audrey Jordan           |       40 |                     43 |                         12 |
| Christopher Price       |       40 |                     43 |                         12 |
| Jessica Martin          |       40 |                     43 |                         12 |
| Kari Reed               |       41 |                     33 |                         16 |
| Deanna Higgins          |       41 |                     33 |                         16 |
| Elizabeth Martinez      |       41 |                     33 |                         16 |
| Jeffery Arias           |       41 |                     33 |                         16 |
| Steven Mendoza          |       41 |                     33 |                         16 |
| Tracy Miles             |       41 |                     33 |                         16 |
| Emma Jones              |       41 |                     33 |                         16 |
| Jon Cook                |       41 |                     33 |                         16 |
| Keith Reed              |       41 |                     33 |                         16 |
| Kevin Williams          |       42 |                     28 |                         20 |
| Albert Mcdonald         |       42 |                     28 |                         20 |
| Sydney Wood             |       42 |                     28 |                         20 |
| Andrea King             |       42 |                     28 |                         20 |
